,date,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
0,2006-01-01,12.5,4.15,0.5,-0.2591792656587488
1,2006-02-01,12.5,4.15,2.0,-0.2591792656587488
2,2006-03-01,12.5,4.15,1.7,1.1693373754872116
3,2006-04-01,12.5,4.3,1.2,1.0702054794520466
4,2006-05-01,13.0,4.6,-0.2,1.4824227022448122
5,2006-06-01,14.0,4.6,0.6,1.001669449081799
6,2006-07-01,14.0,4.6,-1.7,0.4132231404958775
7,2006-08-01,14.5,4.85,2.4,0.288065843621399
8,2006-09-01,15.0,4.85,0.7,0.6155108740254489
9,2006-10-01,15.5,4.85,-2.2,0.16313213703100793
10,2006-11-01,15.5,4.85,0.8,-0.24429967426710109
11,2006-12-01,15.5,4.85,-0.7,0.0
12,2007-01-01,16.0,4.85,2.3,0.1224489795918382
13,2007-02-01,16.0,4.95,0.3,0.0
14,2007-03-01,16.0,4.95,2.4,-0.8560945780676787
15,2007-04-01,16.0,4.95,0.7,0.20559210526316374
16,2007-05-01,16.0,4.95,3.6,0.8206811653672652
17,2007-06-01,16.0,4.95,0.5,0.20350020350019538
18,2007-07-01,16.0,4.95,1.4,-0.12185215272135785
19,2007-08-01,16.0,5.0,0.8,-0.3660024400162665
20,2007-09-01,16.0,5.4,0.8,1.1428571428571566
21,2007-10-01,16.0,5.4,2.8,0.363196125907983
22,2007-11-01,16.0,5.75,-1.5,0.40209087253719744
23,2007-12-01,16.5,6.3,0.1,0.680816980376453
24,2008-01-01,16.5,6.3,1.5,-0.15910898965791898
25,2008-02-01,16.5,6.3,-0.9,1.553784860557772
26,2008-03-01,16.5,6.3,-0.4,1.4907806983130545
27,2008-04-01,16.5,6.3,-1.7,4.2133745651333765
28,2008-05-01,18.5,6.3,0.5,1.4836795252225476
29,2008-06-01,18.5,6.3,-0.1,0.8406432748537807
30,2008-07-01,18.5,6.3,0.8,0.8698803914461983
31,2008-08-01,18.5,6.05,-0.3,0.8983111749910178
32,2008-09-01,18.5,6.05,-0.2,1.2464387464387494
33,2008-10-01,18.5,6.05,-0.2,3.0249736194160937
34,2008-11-01,15.0,5.9,-0.3,1.8436326391259916
35,2008-12-01,21.0,5.9,-1.3,1.7096882333221375
36,2009-01-01,21.0,5.9,-1.6,0.428477257745552
37,2009-02-01,20.0,5.9,-0.6,1.247128322940605
38,2009-03-01,19.0,5.9,-3.8,0.16207455429497752
39,2009-04-01,19.0,5.9,-2.6,0.8414239482200658
40,2009-05-01,18.0,5.9,-0.7,1.4441591784338792
41,2009-06-01,10.5,5.9,-0.4,1.8981335020563206
42,2009-07-01,10.5,5.8,0.3,0.5588326606643657
43,2009-08-01,10.5,5.8,0.8,0.6792219820932477
44,2009-09-01,10.5,4.9,-0.1,0.8586323213737979
45,2009-10-01,10.5,4.9,-0.1,1.094557616296754
46,2009-11-01,10.5,4.9,-1.5,0.9624060150375868
47,2009-12-01,9.0,5.3,-2.2,0.6255585344057346
48,2010-01-01,8.5,4.8,0.4,0.029603315571335997
49,2010-02-01,8.5,4.8,-0.4,1.331754957087905
50,2010-03-01,8.5,4.8,0.5,1.0514018691588856
51,2010-04-01,8.5,4.8,-0.2,0.26011560693641744
52,2010-05-01,8.5,4.8,1.9,0.28826751225137226
53,2010-06-01,8.25,4.8,-0.7,-0.4599022707674538
54,2010-07-01,8.25,4.8,-1.3,-0.7796708056598267
55,2010-08-01,7.75,4.8,0.0,0.3783469150174579
56,2010-09-01,7.75,4.8,0.4,0.0
57,2010-10-01,6.75,4.8,0.9,0.8118295158016764
58,2010-11-01,6.3,4.8,-0.1,0.08628127696290733
59,2010-12-01,5.75,4.7,-1.2,0.4310344827586299
60,2011-01-01,5.55,4.7,0.8,-0.9728183118741018
61,2011-02-01,5.5,4.7,1.0,1.1557353366079104
62,2011-03-01,5.25,4.7,0.4,1.0854041702370587
63,2011-04-01,5.25,4.7,0.7,0.6499011020062229
64,2011-05-01,5.25,4.7,2.7,0.7299270072992803
65,2011-06-01,5.25,4.3,0.5,0.5295429208472591
66,2011-07-01,5.25,4.3,-0.1,-0.22179096201829784
67,2011-08-01,5.25,4.3,0.3,0.3612114476243322
68,2011-09-01,5.25,4.3,1.3,0.7475083056478482
69,2011-10-01,5.25,4.3,1.0,0.3022808463863713
70,2011-11-01,5.4,3.9,0.0,-0.16438356164384382
71,2011-12-01,5.25,3.9,0.9,0.3567508232711347
72,2012-01-01,5.4,3.9,0.2,0.05468963631392043
73,2012-02-01,5.4,3.9,-0.2,1.4211533205794158
74,2012-03-01,5.4,3.75,1.2,1.2934518997574695
75,2012-04-01,5.4,3.75,-0.3,0.7448789571694592
76,2012-05-01,5.65,3.75,0.3,-0.07921837866384784
77,2012-06-01,5.65,3.75,1.5,0.6078224101479845
78,2012-07-01,6.15,3.75,0.9,-0.9981612818492303
79,2012-08-01,6.4,3.75,-0.2,-0.07959671000263846
80,2012-09-01,6.4,3.75,0.7,0.982474774296338
81,2012-10-01,6.4,3.75,0.9,0.47331054430712616
82,2012-11-01,6.4,3.75,0.4,0.3663962313530389
83,2012-12-01,6.4,3.75,0.4,-0.052151238591913174
84,2013-01-01,6.75,3.75,-0.3,0.20871380120011107
85,2013-02-01,6.75,3.75,0.2,2.0307211663629143
86,2013-03-01,6.75,3.5,0.0,0.15310028068384884
87,2013-04-01,6.75,3.5,0.7,-0.1273885350318471
88,2013-05-01,6.75,3.5,1.3,-0.17857142857142794
89,2013-06-01,6.75,3.5,1.8,0.587784308714534
90,2013-07-01,6.75,3.5,0.7,-0.6097560975609873
91,2013-08-01,6.75,3.5,-0.1,0.35787321063396327
92,2013-09-01,6.75,3.5,0.9,0.4075394803871646
93,2013-10-01,6.75,3.5,1.6,-0.12683916793505556
94,2013-11-01,6.75,3.5,0.3,0.20320040640080528
95,2013-12-01,6.75,3.5,-0.5,0.3295310519645156
96,2014-01-01,6.75,3.5,0.3,-1.0864072764022237
97,2014-02-01,6.75,3.5,1.4,0.8684546615580935
98,2014-03-01,6.75,3.5,2.2,0.22790579893645635
99,2014-04-01,6.75,3.5,0.7,0.050530570995444
100,2014-05-01,6.75,3.5,-0.1,-0.07575757575757347
101,2014-06-01,6.75,3.5,-0.8,0.4801617386909429
102,2014-07-01,6.75,3.5,0.3,-0.22635814889336858
103,2014-08-01,6.75,3.5,2.6,0.1764557600201666
104,2014-09-01,6.75,3.5,0.1,-0.4277805737292417
105,2014-10-01,6.75,3.5,0.0,0.025271670457427398
106,2014-11-01,6.75,3.5,0.6,-0.606366851945439
107,2014-12-01,6.5,3.5,2.0,0.22877478393492634
108,2015-01-01,6.5,3.5,1.0,-1.2934313974131473
109,2015-02-01,6.0,3.65,1.8,0.5652620760534299
110,2015-03-01,6.0,3.65,0.3,1.0219724067450198
111,2015-04-01,6.0,3.65,-0.2,0.050581689428441656
112,2015-05-01,6.0,3.65,1.1,0.30333670374114163
113,2015-06-01,6.0,3.65,0.0,0.35282258064515126
114,2015-07-01,6.0,3.65,0.9,0.025113008538424353
115,2015-08-01,6.1,3.65,0.2,0.5021340697966448
116,2015-09-01,6.1,3.65,1.2,-0.6245316012990276
117,2015-10-01,6.6,3.65,0.6,-0.20110608345902392
118,2015-11-01,7.0,3.65,0.3,-0.5793450881612094
119,2015-12-01,7.05,3.65,1.4,0.27869267798328323
120,2016-01-01,7.05,3.65,0.6,-1.0611419909044906
121,2016-02-01,7.05,3.65,0.4,0.6894790602655743
122,2016-03-01,7.05,3.65,0.7,0.4565051990869984
123,2016-04-01,7.05,3.65,0.7,0.10098459984850816
124,2016-05-01,7.05,3.65,1.2,0.3278688524590123
125,2016-06-01,7.05,3.65,2.2,0.10055304172951196
126,2016-07-01,7.05,3.65,2.2,-0.5524861878453025
127,2016-08-01,7.05,3.65,0.9,0.12626262626262985
128,2016-09-01,7.05,3.65,0.3,-0.10088272383353969
129,2016-10-01,6.55,3.65,2.0,-0.2777076495834474
130,2016-11-01,6.55,3.65,1.4,-0.40506329113925155
131,2016-12-01,6.55,3.65,1.5,-0.1779359430604921
132,2017-01-01,6.55,3.65,1.8,-1.1968423733129563
133,2017-02-01,6.5,3.65,2.5,0.5927835051546371
134,2017-03-01,6.35,3.65,2.7,-0.2818344862925981
135,2017-04-01,6.35,3.65,2.2,0.0
136,2017-05-01,6.35,3.65,1.8,-0.41109969167522076
137,2017-06-01,6.35,3.65,0.2,-0.41279669762642746
138,2017-07-01,6.1,3.65,0.3,-0.5699481865284906
139,2017-08-01,5.85,3.65,1.0,0.18238665971859191
140,2017-09-01,5.85,3.65,0.8,-0.2080624187256186
141,2017-10-01,5.85,3.65,0.2,0.6254886630179923
142,2017-11-01,5.6,3.65,-0.7,-0.4921004921005001
143,2017-12-01,5.6,3.65,0.2,0.6246746486205268
144,2018-01-01,5.6,3.65,1.0,-0.5690636316606379
145,2018-02-01,5.6,3.65,0.5,0.5983350676378896
146,2018-03-01,5.6,3.65,-0.1,0.3620377553659182
147,2018-04-01,5.6,3.65,0.7,0.07729966503478014
148,2018-05-01,5.6,3.65,0.4,-0.025746652935110248
149,2018-06-01,5.75,3.65,0.8,0.46355910378572673
150,2018-07-01,5.75,3.65,0.3,-0.25634452704434985
151,2018-08-01,5.75,3.65,-0.1,0.10280133641735745
152,2018-09-01,5.75,3.65,0.6,0.25673940949935137
153,2018-10-01,5.75,3.65,0.4,0.5889884763124131
154,2018-11-01,5.75,3.65,1.0,0.1782077393075232
155,2018-12-01,6.0,3.65,0.1,0.9402795425667021
156,2019-01-01,6.0,3.55,0.4,-0.7301107754279945
157,2019-02-01,6.0,3.55,-1.0,0.15216839969565132
158,2019-03-01,6.0,3.55,0.6,0.6583945302608418
159,2019-04-01,6.0,3.55,0.3,0.47798742138365213
160,2019-05-01,6.0,3.55,0.3,0.20030045067602753
161,2019-06-01,6.0,3.55,0.2,0.37481259370315545
162,2019-07-01,5.6,3.25,0.1,-0.42320139407517887
163,2019-08-01,5.4,3.19,0.6,0.40000000000000036
164,2019-09-01,5.4,3.19,0.6,0.09960159362549792
165,2019-10-01,5.3,3.09,0.5,0.2238805970149249
166,2019-11-01,5.2,2.9,-0.3,0.0
167,2019-12-01,5.2,2.9,0.1,0.27302060064533507
168,2020-01-01,5.05,2.9,0.5,-0.8663366336633671
169,2020-02-01,5.05,2.9,0.5,0.9488139825218456
170,2020-03-01,4.95,2.9,0.1,0.09893643334157876
171,2020-04-01,4.9,2.9,0.0,0.5683222139856614
172,2020-05-01,4.04,2.4,0.8,0.8845208845208896
173,2020-06-01,4.0,2.3,0.2,0.5114466634193793
174,2020-07-01,3.5,2.0,1.2,0.1696147322510333
175,2020-08-01,3.5,2.0,0.8,0.4596032897919766
176,2020-09-01,3.5,2.0,1.0,0.5297375391283277
177,2020-10-01,3.5,1.95,0.9,0.4311377245509007
178,2020-11-01,3.5,1.95,0.8,0.0953970903887269
179,2020-12-01,3.5,2.0,0.6,0.14295925661187425
180,2021-01-01,3.3,1.9,0.1,-0.23792529145848507
181,2021-02-01,3.3,1.9,0.6,0.7631767231099484
182,2021-03-01,3.3,1.9,3.3,0.4260355029585883
183,2021-04-01,3.3,1.9,2.7,0.37709168041479835
184,2021-05-01,3.3,1.9,1.6,0.2347969006809114
185,2021-06-01,3.3,1.9,1.4,0.14054813773718422
186,2021-07-01,3.45,1.9,0.7,-0.04678362573099504
187,2021-08-01,3.45,1.9,1.6,0.3978469459396283
188,2021-09-01,3.45,1.9,1.2,0.18648018648019793
189,2021-10-01,3.65,1.9,1.4,0.46533271288971
190,2021-11-01,3.65,1.9,0.7,0.16211208893006646
191,2021-12-01,3.8,1.9,1.8,0.3699421965317917
192,2022-01-01,3.95,1.5,1.7,0.16125316747293006
193,2022-02-01,4.15,1.5,2.5,1.2649494020239294
194,2022-03-01,4.15,1.5,3.1,0.8176243470360944
195,2022-04-01,4.15,1.49,2.7,0.9912142374408628
196,2022-05-01,4.65,1.49,2.7,0.4238233325897678
