,date,verdbolga
0,2006-01-01,231.5
1,2006-02-01,230.9
2,2006-03-01,233.6
3,2006-04-01,236.1
4,2006-05-01,239.6
5,2006-06-01,242.0
6,2006-07-01,243.0
7,2006-08-01,243.7
8,2006-09-01,245.2
9,2006-10-01,245.6
10,2006-11-01,245.0
11,2006-12-01,245.0
12,2007-01-01,245.3
13,2007-02-01,245.3
14,2007-03-01,243.2
15,2007-04-01,243.7
16,2007-05-01,245.7
17,2007-06-01,246.2
18,2007-07-01,245.9
19,2007-08-01,245.0
20,2007-09-01,247.8
21,2007-10-01,248.7
22,2007-11-01,249.7
23,2007-12-01,251.4
24,2008-01-01,251.0
25,2008-02-01,254.9
26,2008-03-01,258.7
27,2008-04-01,269.6
28,2008-05-01,273.6
29,2008-06-01,275.9
30,2008-07-01,278.3
31,2008-08-01,280.8
32,2008-09-01,284.3
33,2008-10-01,292.9
34,2008-11-01,298.3
35,2008-12-01,303.4
36,2009-01-01,304.7
37,2009-02-01,308.5
38,2009-03-01,309.0
39,2009-04-01,311.6
40,2009-05-01,316.1
41,2009-06-01,322.1
42,2009-07-01,323.9
43,2009-08-01,326.1
44,2009-09-01,328.9
45,2009-10-01,332.5
46,2009-11-01,335.7
47,2009-12-01,337.8
48,2010-01-01,337.9
49,2010-02-01,342.4
50,2010-03-01,346.0
51,2010-04-01,346.9
52,2010-05-01,347.9
53,2010-06-01,346.3
54,2010-07-01,343.6
55,2010-08-01,344.9
56,2010-09-01,344.9
57,2010-10-01,347.7
58,2010-11-01,348.0
59,2010-12-01,349.5
60,2011-01-01,346.1
61,2011-02-01,350.1
62,2011-03-01,353.9
63,2011-04-01,356.2
64,2011-05-01,358.8
65,2011-06-01,360.7
66,2011-07-01,359.9
67,2011-08-01,361.2
68,2011-09-01,363.9
69,2011-10-01,365.0
70,2011-11-01,364.4
71,2011-12-01,365.7
72,2012-01-01,365.9
73,2012-02-01,371.1
74,2012-03-01,375.9
75,2012-04-01,378.7
76,2012-05-01,378.4
77,2012-06-01,380.7
78,2012-07-01,376.9
79,2012-08-01,376.6
80,2012-09-01,380.3
81,2012-10-01,382.1
82,2012-11-01,383.5
83,2012-12-01,383.3
84,2013-01-01,384.1
85,2013-02-01,391.9
86,2013-03-01,392.5
87,2013-04-01,392.0
88,2013-05-01,391.3
89,2013-06-01,393.6
90,2013-07-01,391.2
91,2013-08-01,392.6
92,2013-09-01,394.2
93,2013-10-01,393.7
94,2013-11-01,394.5
95,2013-12-01,395.8
96,2014-01-01,391.5
97,2014-02-01,394.9
98,2014-03-01,395.8
99,2014-04-01,396.0
100,2014-05-01,395.7
101,2014-06-01,397.6
102,2014-07-01,396.7
103,2014-08-01,397.4
104,2014-09-01,395.7
105,2014-10-01,395.8
106,2014-11-01,393.4
107,2014-12-01,394.3
108,2015-01-01,389.2
109,2015-02-01,391.4
110,2015-03-01,395.4
111,2015-04-01,395.6
112,2015-05-01,396.8
113,2015-06-01,398.2
114,2015-07-01,398.3
115,2015-08-01,400.3
116,2015-09-01,397.8
117,2015-10-01,397.0
118,2015-11-01,394.7
119,2015-12-01,395.8
120,2016-01-01,391.6
121,2016-02-01,394.3
122,2016-03-01,396.1
123,2016-04-01,396.5
124,2016-05-01,397.8
125,2016-06-01,398.2
126,2016-07-01,396.0
127,2016-08-01,396.5
128,2016-09-01,396.1
129,2016-10-01,395.0
130,2016-11-01,393.4
131,2016-12-01,392.7
132,2017-01-01,388.0
133,2017-02-01,390.3
134,2017-03-01,389.2
135,2017-04-01,389.2
136,2017-05-01,387.6
137,2017-06-01,386.0
138,2017-07-01,383.8
139,2017-08-01,384.5
140,2017-09-01,383.7
141,2017-10-01,386.1
142,2017-11-01,384.2
143,2017-12-01,386.6
144,2018-01-01,384.4
145,2018-02-01,386.7
146,2018-03-01,388.1
147,2018-04-01,388.4
148,2018-05-01,388.3
149,2018-06-01,390.1
150,2018-07-01,389.1
151,2018-08-01,389.5
152,2018-09-01,390.5
153,2018-10-01,392.8
154,2018-11-01,393.5
155,2018-12-01,397.2
156,2019-01-01,394.3
157,2019-02-01,394.9
158,2019-03-01,397.5
159,2019-04-01,399.4
160,2019-05-01,400.2
161,2019-06-01,401.7
162,2019-07-01,400.0
163,2019-08-01,401.6
164,2019-09-01,402.0
165,2019-10-01,402.9
166,2019-11-01,402.9
167,2019-12-01,404.0
168,2020-01-01,400.5
169,2020-02-01,404.3
170,2020-03-01,404.7
171,2020-04-01,407.0
172,2020-05-01,410.6
173,2020-06-01,412.7
174,2020-07-01,413.4
175,2020-08-01,415.3
176,2020-09-01,417.5
177,2020-10-01,419.3
178,2020-11-01,419.7
179,2020-12-01,420.3
180,2021-01-01,419.3
181,2021-02-01,422.5
182,2021-03-01,424.3
183,2021-04-01,425.9
184,2021-05-01,426.9
185,2021-06-01,427.5
186,2021-07-01,427.3
187,2021-08-01,429.0
188,2021-09-01,429.8
189,2021-10-01,431.8
190,2021-11-01,432.5
191,2021-12-01,434.1
192,2022-01-01,434.8
193,2022-02-01,440.3
194,2022-03-01,443.9
195,2022-04-01,448.3
196,2022-05-01,450.2
